name,formatted_address,weekday_text,website,latitude,longitude,types,place_id,types,formatted_phone_number,url,vicinity
Domino Park,"300 Kent Ave, Brooklyn, NY 11249, USA",Monday: 6:00 AM – 1:00 AM;Tuesday: 6:00 AM – 1:00 AM;Wednesday: 6:00 AM – 1:00 AM;Thursday: 6:00 AM – 1:00 AM;Friday: 6:00 AM – 1:00 AM;Saturday: 6:00 AM – 1:00 AM;Sunday: 6:00 AM – 1:00 AM,https://www.dominopark.com/,40.71469920000001,-73.9679122,"park,point_of_interest,establishment",ChIJX7hLk0FZwokRFhRcjtylakg,"park,point_of_interest,establishment",(212) 484-2700,https://maps.google.com/?cid=5218165484961928214,"300 Kent Avenue, Brooklyn"
IFC Center,"323 6th Ave, New York, NY 10014, USA",Monday: 10:00 AM – 10:00 PM;Tuesday: 10:00 AM – 10:00 PM;Wednesday: 10:00 AM – 10:00 PM;Thursday: 10:00 AM – 10:00 PM;Friday: 10:00 AM – 10:00 PM;Saturday: 10:00 AM – 10:00 PM;Sunday: 10:00 AM – 10:00 PM,http://www.ifccenter.com/,40.7312056,-74.0016722,"movie_theater,point_of_interest,establishment",ChIJjSKIz5NZwokRTS3NUw8-59o,"movie_theater,point_of_interest,establishment",(212) 924-7771,https://maps.google.com/?cid=15773644455439838541,"323 6th Avenue, New York"
Brooklyn Bridge,"Brooklyn Bridge, New York, NY 10038, USA",N/A,http://www.nyc.gov/html/dot/html/infrastructure/brooklyn-bridge.shtml,40.7060855,-73.9968643,"tourist_attraction,point_of_interest,establishment",ChIJK3vOQyNawokRXEa9errdJiU,"tourist_attraction,point_of_interest,establishment",N/A,https://maps.google.com/?cid=2677070821511218780,"Brooklyn Bridge, New York"
Comedy Cellar,"117 MacDougal St, New York, NY 10012, USA",Monday: 11:00 AM – 3:00 AM;Tuesday: 11:00 AM – 3:00 AM;Wednesday: 11:00 AM – 3:00 AM;Thursday: 11:00 AM – 3:00 AM;Friday: 11:00 AM – 3:00 AM;Saturday: 11:00 AM – 3:00 AM;Sunday: 11:00 AM – 3:00 AM,http://comedycellar.com/,40.7302002,-74.0005639,"tourist_attraction,point_of_interest,establishment",ChIJmzPYgJFZwokRg4zUwTlZwtI,"tourist_attraction,point_of_interest,establishment",(212) 254-3480,https://maps.google.com/?cid=15186798998046674051,"117 MacDougal Street, New York"
Hudson River Park Trust,"353 West St, New York, NY 10011, USA",Monday: 9:00 AM – 5:00 PM;Tuesday: 9:00 AM – 5:00 PM;Wednesday: 9:00 AM – 5:00 PM;Thursday: 9:00 AM – 5:00 PM;Friday: 9:00 AM – 5:00 PM;Saturday: Closed;Sunday: Closed,https://www.hudsonriverpark.org/,40.7330699,-74.011028,"park,tourist_attraction,point_of_interest,establishment",ChIJ5aLwb5dZwokR4EzyKJoh3mQ,"park,tourist_attraction,point_of_interest,establishment",(212) 627-2020,https://maps.google.com/?cid=7268283794618207456,"353 West Street, New York"
The Museum of Modern Art,"11 W 53rd St, New York, NY 10019, USA",Monday: 10:30 AM – 5:30 PM;Tuesday: 10:30 AM – 5:30 PM;Wednesday: 10:30 AM – 5:30 PM;Thursday: 10:30 AM – 5:30 PM;Friday: 10:30 AM – 5:30 PM;Saturday: 10:30 AM – 7:00 PM;Sunday: 10:30 AM – 5:30 PM,https://www.moma.org/,40.7614327,-73.97762159999999,"art_gallery,tourist_attraction,museum,point_of_interest,establishment",ChIJKxDbe_lYwokRVf__s8CPn-o,"art_gallery,tourist_attraction,museum,point_of_interest,establishment",(212) 708-9400,https://maps.google.com/?cid=16906389583988522837,"11 West 53rd Street, New York"
The Frick Collection,"1 E 70th St, New York, NY 10021, USA",N/A,http://www.frick.org/,40.771209,-73.9673991,"museum,point_of_interest,establishment",ChIJHRH97uxYwokR6CBeDyn1jtg,"museum,point_of_interest,establishment",(212) 288-0700,https://maps.google.com/?cid=15604679315585638632,"1 East 70th Street, New York"
The Metropolitan Museum of Art,"1000 5th Ave, New York, NY 10028, USA",Monday: 10:00 AM – 5:00 PM;Tuesday: Closed;Wednesday: Closed;Thursday: 10:00 AM – 5:00 PM;Friday: 10:00 AM – 5:00 PM;Saturday: 10:00 AM – 5:00 PM;Sunday: 10:00 AM – 5:00 PM,https://www.metmuseum.org/,40.7794366,-73.963244,"art_gallery,tourist_attraction,museum,point_of_interest,establishment",ChIJb8Jg9pZYwokR-qHGtvSkLzs,"art_gallery,tourist_attraction,museum,point_of_interest,establishment",(212) 535-7710,https://maps.google.com/?cid=4264808743088595450,"1000 5th Avenue, New York"
The Met Cloisters,"99 Margaret Corbin Dr, New York, NY 10040, USA",Monday: 10:00 AM – 5:00 PM;Tuesday: Closed;Wednesday: Closed;Thursday: 10:00 AM – 5:00 PM;Friday: 10:00 AM – 5:00 PM;Saturday: 10:00 AM – 5:00 PM;Sunday: 10:00 AM – 5:00 PM,https://www.metmuseum.org/visit/plan-your-visit/met-cloisters,40.86486279999999,-73.9317274,"tourist_attraction,museum,point_of_interest,establishment",ChIJK6bycAH0wokRrSnflfrnkZE,"tourist_attraction,museum,point_of_interest,establishment",(212) 923-3700,https://maps.google.com/?cid=10489420070564866477,"99 Margaret Corbin Drive, New York"
Whitney Museum of American Art,"99 Gansevoort St, New York, NY 10014, USA",Monday: 10:30 AM – 5:00 PM;Tuesday: Closed;Wednesday: Closed;Thursday: 10:30 AM – 6:00 PM;Friday: 10:30 AM – 6:00 PM;Saturday: 11:30 AM – 6:00 PM;Sunday: 11:30 AM – 6:00 PM,https://whitney.org/,40.73958770000001,-74.0088629,"tourist_attraction,museum,point_of_interest,establishment",ChIJN3MJ6pRYwokRiXg91flSP8Y,"tourist_attraction,museum,point_of_interest,establishment",(212) 570-3600,https://maps.google.com/?cid=14285227776020412553,"99 Gansevoort Street, New York"
