name,review_count,rating,phone,display_address,image_url,url,categories,display_phone,price,longitude,latitude,neighborhood,region,city,country,state,zip_code,address1,address2,address3,alias,id,is_closed,update_date,tag
Tibbett Diner,111,4.0,+17185498893,"3033 Tibbett Ave, Bronx, NY 10463",https://s3-media2.fl.yelpcdn.com/bphoto/ghjDpIbpfpwbKQ-CHec12g/o.jpg,https://www.yelp.com/biz/tibbett-diner-bronx?adjust_creative=SVOY-FaCa46_d4jRxG76Iw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=SVOY-FaCa46_d4jRxG76Iw,diners-Diners;,(718) 549-8893,$,-73.90906,40.88038,Marble Hill,Manhattan,Bronx,US,NY,10463,3033 Tibbett Ave,,,tibbett-diner-bronx,xuMM_EDCM7X4sSN1rVcDXg,False,"06/09/2021, 00:44","restaurants,dancerestaurants"
Sam's Pizza,140,4.5,+17185489070,"232 W 231st St, Bronx, NY 10463",https://s3-media1.fl.yelpcdn.com/bphoto/JXXSep1k_CHQvpQBFkRvWw/o.jpg,https://www.yelp.com/biz/sams-pizza-bronx-2?adjust_creative=SVOY-FaCa46_d4jRxG76Iw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=SVOY-FaCa46_d4jRxG76Iw,pizza-Pizza;,(718) 548-9070,$,-73.90601,40.87939,Marble Hill,Manhattan,Bronx,US,NY,10463,232 W 231st St,,,sams-pizza-bronx-2,_BqxInkUJ7kBVPlfJf2PbA,False,"06/09/2021, 00:44","restaurants,dancerestaurants"
CHOCnyc,174,5.0,+16467264076,"4996 Broadway, New York, NY 10034",https://s3-media1.fl.yelpcdn.com/bphoto/J1ZUq6z1MNo5OvQaMDUPqw/o.jpg,https://www.yelp.com/biz/chocnyc-new-york-2?adjust_creative=SVOY-FaCa46_d4jRxG76Iw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=SVOY-FaCa46_d4jRxG76Iw,desserts-Desserts;coffee-Coffee & Tea;bakeries-Bakeries;,(646) 726-4076,$$,-73.9185419306159,40.8683358542711,Marble Hill,Manhattan,New York,US,NY,10034,4996 Broadway,,,chocnyc-new-york-2,_udiJL0Sq_qahchymwzxCg,False,"06/09/2021, 00:44",desserts
S&S Cheesecake,186,4.5,+17185493888,"222 W 238th St, Bronx, NY 10463",https://s3-media4.fl.yelpcdn.com/bphoto/Mt0wsY5qbFwIwy524-jHZg/o.jpg,https://www.yelp.com/biz/s-and-s-cheesecake-bronx?adjust_creative=SVOY-FaCa46_d4jRxG76Iw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=SVOY-FaCa46_d4jRxG76Iw,desserts-Desserts;bakeries-Bakeries;kosher-Kosher;,(718) 549-3888,$$,-73.8995528966188,40.8847182244062,Marble Hill,Manhattan,Bronx,US,NY,10463,222 W 238th St,,,s-and-s-cheesecake-bronx,1thBGawoqRUHqCfQMZycYQ,False,"06/09/2021, 00:44",desserts
Com Tam Ninh Kieu,442,4.0,+17184503833,"2641 Jerome Ave, Bronx, NY 10468",https://s3-media2.fl.yelpcdn.com/bphoto/Xo9ZOIVz2y7Eo4_xxh4BdA/o.jpg,https://www.yelp.com/biz/com-tam-ninh-kieu-bronx?adjust_creative=SVOY-FaCa46_d4jRxG76Iw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=SVOY-FaCa46_d4jRxG76Iw,vietnamese-Vietnamese;desserts-Desserts;coffee-Coffee & Tea;,(718) 450-3833,$$,-73.8982,40.86702,Marble Hill,Manhattan,Bronx,US,NY,10468,2641 Jerome Ave,,,com-tam-ninh-kieu-bronx,C3spvfEd8JQJie-yixRgpQ,False,"06/09/2021, 00:44",desserts
Lloyd's Carrot Cake,248,4.0,+17185489020,"6087 Broadway, Bronx, NY 10471",https://s3-media4.fl.yelpcdn.com/bphoto/4tZLtqGzcBd3uMCWz9Bxbg/o.jpg,https://www.yelp.com/biz/lloyds-carrot-cake-bronx?adjust_creative=SVOY-FaCa46_d4jRxG76Iw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=SVOY-FaCa46_d4jRxG76Iw,bakeries-Bakeries;desserts-Desserts;,(718) 548-9020,$,-73.89666,40.894,Marble Hill,Manhattan,Bronx,US,NY,10471,6087 Broadway,,,lloyds-carrot-cake-bronx,rW44tFK72COM33jdzxpJog,False,"06/09/2021, 00:44",desserts
Inwood Farm,633,4.0,+12129427451,"600 W 218th St, New York, NY 10034",https://s3-media3.fl.yelpcdn.com/bphoto/pggH1zZpKex-eN-Zhf9hpw/o.jpg,https://www.yelp.com/biz/inwood-farm-new-york?adjust_creative=SVOY-FaCa46_d4jRxG76Iw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=SVOY-FaCa46_d4jRxG76Iw,coffee-Coffee & Tea;newamerican-American (New);bars-Bars;,(212) 942-7451,$$,-73.918244,40.87266,Marble Hill,Manhattan,New York,US,NY,10034,600 W 218th St,,,inwood-farm-new-york,rUBFgZU3QTk7IOgpccE8Og,False,"06/09/2021, 00:44","bars,beergardens"
The Bronx Public,499,4.0,+17187086447,"170 W 231st St, Bronx, NY 10463",https://s3-media4.fl.yelpcdn.com/bphoto/TFMIaPBNzgxTxdL9g66ojw/o.jpg,https://www.yelp.com/biz/the-bronx-public-bronx?adjust_creative=SVOY-FaCa46_d4jRxG76Iw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=SVOY-FaCa46_d4jRxG76Iw,sportsbars-Sports Bars;tradamerican-American (Traditional);,(718) 708-6447,$$,-73.90341,40.87827,Marble Hill,Manhattan,Bronx,US,NY,10463,170 W 231st St,,,the-bronx-public-bronx,KAxYFGyOQ7ysCmYmh8jKtw,False,"06/09/2021, 00:44","bars,beergardens"
Inwood Local,205,4.0,+12125448900,"4957 Broadway, New York, NY 10034",https://s3-media2.fl.yelpcdn.com/bphoto/ZI0-ZBWp5JwHr-mi82FuVw/o.jpg,https://www.yelp.com/biz/inwood-local-new-york?adjust_creative=SVOY-FaCa46_d4jRxG76Iw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=SVOY-FaCa46_d4jRxG76Iw,bars-Bars;,(212) 544-8900,$$,-73.92055,40.86807,Marble Hill,Manhattan,New York,US,NY,10034,4957 Broadway,,,inwood-local-new-york,q90TPhXy8D6C4aZaitoeUQ,False,"06/09/2021, 00:44","bars,beergardens"
Cocina Chente,190,4.0,+13478438081,"3535 Riverdale Ave, Bronx, NY 10463",https://s3-media2.fl.yelpcdn.com/bphoto/hJOJPxcOLhKc04XafpxIdA/o.jpg,https://www.yelp.com/biz/cocina-chente-bronx?adjust_creative=SVOY-FaCa46_d4jRxG76Iw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=SVOY-FaCa46_d4jRxG76Iw,mexican-Mexican;cocktailbars-Cocktail Bars;,(347) 843-8081,$$,-73.9071951348118,40.88620632793199,Marble Hill,Manhattan,Bronx,US,NY,10463,3535 Riverdale Ave,,,cocina-chente-bronx,DpOhfKF92bZPqN9NPreTEg,False,"06/09/2021, 00:44","bars,beergardens"
The Hill Bistro,219,4.5,+17187087770,"3541 Riverdale Ave, Bronx, NY 10463",https://s3-media1.fl.yelpcdn.com/bphoto/2nS3rbHxLx2JVi0jxzHAUg/o.jpg,https://www.yelp.com/biz/the-hill-bistro-bronx?adjust_creative=SVOY-FaCa46_d4jRxG76Iw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=SVOY-FaCa46_d4jRxG76Iw,tradamerican-American (Traditional);wine_bars-Wine Bars;,(718) 708-7770,$$,-73.9074443768295,40.8863067063563,Marble Hill,Manhattan,Bronx,US,NY,10463,3541 Riverdale Ave,,,the-hill-bistro-bronx,DLnn2qw-KJAmazB-hMmSEw,False,"06/09/2021, 00:44","bars,beergardens"
