Activity,Location,,,,,
Domino Park,Brooklyn,,,,,
Watch a movie at IFC Center,Manhattan,,,,,
Brooklyn Bridge,Manhattan,,,,,
Comedy Cellar,Manhattan,,,,,
Hudson River Park,Manhattan,,,,,
Museum of Modern Art,Manhattan,,,,,
The Frick,,,,,,
Metropolitan Museum of Art,,,,,,
Met Cloisters,Manhattan,,,,,
Whitney Museum,Manhattan,,,,,
Artechouse,,,,,,
Staten Island Ferry,Staten Island,,,,,
Bronx Zoo,Bronx,,,,,
Bronx Botanical Garden,Bronx,,,,,
Central Park Ravine,,,,,,
Tandem Bike Coney Island,,,,,,
Prospect Park,Brooklyn,,,,,
Times Square Music Sync,,,,,,
High Line,Manhattan,,,,,
Inwood Hill Park,,,,,,
Strand Book Store,,,,,,
Morgan Library & Museum,,,,,,
Washington Square Park,,,,,,
New York Aquarium,,,,,,
Brooklyn Heights Promenade,,,,,,
Brookyn Flea Market,,,,,,
Painted Pot Pottery Painting Cobble Hill,Brooklyn,,,,,
Painted Pot Pottery Painting Park Slope,Brooklyn,,,,,
Painted Pot Clay Molding Cobble Hill,,,,,,
Painted Pot Clay Molding Park Slope,,,,,,
Little Shop of Crafts,Manhattan,,,,,
Color Me Mine,Manhattan,,,,,
Color Me Mine,Manhattan,,,,,
Thrift Shopping Williamsburg,Brooklyn,,,,,
Randall's Island,,,,,,
Tram Roosevelt Island,,,,,,
Movie at Lincoln Center,Manhattan,,,,,
Sheep's Meadow,Manhattan,,,,,
Brooklyn Brewery Tour,Brooklyn,,,,,
NY Federal Bank Gold Vault Tour,Manhattan,,,,,
Stargazing Amateur Astronomers Association,Manhattan,,,,,
Bushwick Collective Graffiti Art Collection,Brooklyn,,,,,
Walking along Chelsea Piers,Manhattan,,,,,
Battery Park,Manhattan,,,,,
Smalls Jazz Club,Manhattan,,,,,
Mezzrow Jazz Club,Manhattan,,,,,
Guggenheim,Manhattan,,,,,
Gagopa Karaoke,Manhattan,,,,,
Karaoke City,Manhattan,,,,,
Spot Karaoke & Lounge,Manhattan,,,,,
32 Karaoke,Manhattan,,,,,
Karaoke Duet 35,Manhattan,,,,,
MK Karaoke,Manhattan,,,,,
Drunk Shakespeare,Manhattan,,,,,
Governor's island,Manhattan,,,,,
Kayak Hudson River Pier 96,Manhattan,,,,,
Yankee Stadium,Bronx,,,,,
Ice skating Bryant park,Manhattan,,,,,
Union Square Greenmarket,Manhattan,,,,,
Salsa Class Baila Society,Manhattan,,,,,
9/11 Memorial and Museum,Manhattan,,,,,
Mahayana Temple Buddhist Association,Manhattan,,,,,
Natural History Museum,Manhattan,,,,,
Chinese Scholar's Garden,Staten Island,,,,,
Roller Jam USA,Staten Island,,,,,
Winter Village Bryant Park,Manhattan,,,,,
Bowery Ballroom,Manhattan,,,,,
The Little Island,Manhattan,,,,,
Paddle Boat at Central Park,Manhattan,,,,,
Central Park Zoo,Manhattan,,,,,
Public Theater,Manhattan,,,,,
Brant Foundation Art Study Center,Manhattan,,,,,
Gagosian Gallery,Manhattan,,,,,
The Drawing Center,Manhattan,,,,,
